name,description,Level,School,Components,DamageType,CastingTime,Range,Save
Conjure Elemental,"Level 5 Conjuration (Druid, Wizard) Casting Time: Action Range: 60 feet Components: V, S Duration: Concentration, up to 10 minutes You conjure a Large , intangible spirit from the Elemental Planes that appears in an unoccupied space within range. Choose the spirit’s element, which determines its damage type: air ( Lightning ), earth ( Thunder ), fire ( Fire ), or water ( Cold ). The spirit lasts for the duration. Whenever a creature you can see enters the spirit’s space or starts its turn within 5 feet of the spirit, you can force that creature to make a Dexterity saving throw if the spirit has no creature Restrained . On failed save , the target takes 8d8 damage of the spirit’s type, and the target has the Restrained condition until the spell ends. At the start of each of its turns, the Restrained target repeats the save . On a failed save , the target takes 4d8 damage of the spirit’s type. On a successful save , the target isn’t Restrained by the spirit. Using a Higher-Level Spell Slot. The damage increases by 2d8 for each spell slot level above 5.",5,Conjuration,V S,,Action,,Dexterity
Conjure Fey,"Level 6 Conjuration (Druid) Casting Time: Action Range: 60 feet Components: V, S Duration: Concentration, up to 10 minutes You conjure a Medium spirit from the Feywild in an unoccupied space you can see within range. The spirit lasts for the duration, and it looks like a Fey creature of your choice. When the spirit appears, you can make one melee spell attack against a creature within 5 feet of it. On a hit, the target takes Psychic damage equal to 3d12 plus your spellcasting ability modifier, and the target has the Frightened condition until the start of your next turn, with both you and the spirit as the source of the fear. As a Bonus Action on your later turns, you can teleport the spirit to an unoccupied space you can see within 30 feet of the space it left and make the attack against a creature within 5 feet of it. Using a Higher-Level Spell Slot. The damage increases by 2d12 for each spell slot level above 6.",6,Conjuration,V S,Psychic,Action,,
Conjure Minor Elementals,"Level 4 Conjuration (Druid, Wizard) Casting Time: Action Range: Self Components: V, S Duration: Concentration, up to 10 minutes You conjure spirits from the Elemental Planes that flit around you in a 15-foot Emanation for the duration. Until the spell ends, any attack you make deals an extra 2d8 damage when you hit a creature in the Emanation . This damage is Acid , Cold , Fire , or Lightning (your choice when you make the attack). In addition, the ground in the Emanation is Difficult Terrain for your enemies . Using a Higher-Level Spell Slot. The damage increases by 2d8 for each spell slot level above 4.",4,Conjuration,V S,"Acid, cold, fire, or lightning",Action,Self (15 ft ○),
Conjure Volley,"Level 5 Conjuration (Ranger) Casting Time: Action Range: 150 feet Components: V, S, M (a Melee or Ranged weapon worth at least 1 CP) Duration: Instantaneous You brandish the weapon used to cast the spell and choose a point within range. Hundreds of similar spectral weapons (or ammunition appropriate to the weapon ) fall in a volley and then disappear. Each creature of your choice that you can see in a 40-foot-radius, 20-foot-high Cylinder centered on that point makes a Dexterity saving throw . A creature takes 8d8 Force damage on a failed save or half as much damage on a successful one.",5,Conjuration,V S M,Force,Action,"150 ft (40 ft radius, 20 foot high ○)",Dexterity
Conjure Woodland Beings,"Level 4 Conjuration (Druid, Ranger) Casting Time: Action Range: Self Components: V, S Duration: Concentration, up to 10 minutes You conjure nature spirits that flit around you in a 10-foot Emanation for the duration. Whenever the Emanation enters the space of a creature you can see and whenever a creature you can see enters the Emanation or ends its turn there, you can force that creature to make a Wisdom saving throw. The creature takes 5d8 Force damage on a failed save or half as much damage on a successful one. A creature makes this save only once per turn. In addition, you can take the Disengage action as a Bonus Action for the spell’s duration. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.",4,Conjuration,V S,Force,Action,Self (10 ft ○),Wisdom
Contact Other Plane,"Level 5 Divination (Warlock, Wizard) Casting Time: 1 minute or Ritual Range: Self Components: V Duration: 1 minute You mentally contact a demigod, the spirit of a long-dead sage, or some other knowledgeable entity from another plane. Contacting this otherworldly intelligence can break your mind. When you cast this spell, make a DC 15 Intelligence saving throw . On a successful save , you can ask the entity up to five questions. You must ask your questions before the spell ends. The DM answers each question with one word, such as “yes,” “no,” “maybe,” “never,” “irrelevant,” or “unclear” (if the entity doesn’t know the answer to the question). If a one-word answer would be misleading, the DM might instead offer a short phrase as an answer. On a failed save , you take 6d6 Psychic damage and have the Incapacitated condition until you finish a Long Rest . A Greater Restoration spell cast on you ends this effect.",5,Divination,V,Psychic,1 minute or Ritual,,
Contagion,"Level 5 Necromancy (Cleric, Druid) Casting Time: Action Range: Touch Components: V, S Duration: 7 days Your touch inflicts a magical contagion. The target must succeed on a Constitution saving throw or take 11d8 Necrotic damage and have the Poisoned condition. Also, choose one ability when you cast the spell. While Poisoned , the target has Disadvantage on saving throws made with the chosen ability. The target must repeat the saving throw at the end of each of its turns until it gets three successes or failures. If the target succeeds on three of these saves , the spell ends on the target . If the target fails three of the saves , the spell lasts for 7 days on it. Whenever the Poisoned target receives an effect that would end the Poisoned condition, the target must succeed on a Constitution saving throw , or the Poisoned condition doesn’t end on it.",5,Necromancy,V S,Necrotic,Action,,Constitution
Contingency,"Level 6 Abjuration (Wizard) Casting Time: 10 minutes Range: Self Components: V, S, M (a gem-encrusted statuette of yourself worth 1,500+ GP) Duration: 10 days Choose a spell of level 5 or lower that you can cast, that has a casting time of an action , and that can target you. You cast that spell—called the contingent spell—as part of casting Contingency , expending spell slots for both, but the contingent spell doesn’t come into effect. Instead, it takes effect when a certain trigger occurs. You describe that trigger when you cast the two spells. For example, a Contingency cast with Water Breathing might stipulate that Water Breathing comes into effect when you are engulfed in water or a similar liquid. The contingent spell takes effect immediately after the trigger occurs for the first time, whether or not you want it to, and then Conting ency ends. The contingent spell takes effect only on you, even if it can normally target others. You can use only one Contingency spell at a time. If you cast this spell again, the effect of another Contingency spell on you ends. Also, Contingency ends on you if its material component is ever not on your person.",6,Abjuration,V S M,,10 minutes,,
Continual Flame,"Level 2 Evocation (Cleric, Druid, Wizard) Casting Time: Action Range: Touch Components: V, S, M (ruby dust worth 50+ GP, which the spell consumes) Duration: Until dispelled A flame springs from an object that you touch. The effect casts Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. It looks like a regular flame, but it creates no heat and consumes no fuel. The flame can be covered or hidden but not smothered or quenched.",2,Evocation,V S M,,Action,,
Control Flames,"Transmutation Cantrip Casting Time : 1 action Rang e: 60 feet Components: S Duration : Instantaneous or 1 hour (see below) You choose nonmagical flame that you can see within range and that fits within a 5-foot cube. You affect it in one of the following ways: You instantaneously expand the flame 5 feet in one direction, provided that wood or other fuel is present in the new location. You instantaneously extinguish the flames within the cube. You double or halve the area of bright light and dim light cast by the flame, change its color, or both. The change lasts for 1 hour. You cause simple shapes—such as the vague form of a creature, an inanimate object, or a location—to appear within the flames and animate as you like. The shapes last for 1 hour. If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.",0,Transmutation,S,,1 action,60 feet,
Control Water,"Level 4 Transmutation (Cleric, Druid, Wizard) Casting Time: Action Range: 300 feet Components: V, S, M (a mixture of water and dust) Duration: Concentration, up to 10 minutes Until the spell ends, you control any water inside an area you choose that is a Cube up to 100 feet on a side, using one of the following effects. As a Magic action on your later turns, you can repeat the same effect or choose a different one. Flood. You cause the water level of all standing water in the area to rise by as much as 20 feet. If you choose an area in a large body of water, you instead create a 20-foot tall wave that travels from one side of the area to the other and then crashes. Any Huge or smaller vehicles in the wave’s path are carried with it to the other side. Any Huge or smaller vehicles struck by the wave have a 25 percent chance of capsizing. The water level remains elevated until the spell ends or you choose a different effect. If this effect produced a wave, the wave repeats on the start of your next turn while the flood effect lasts. Part Water. You part water in the area and create a trench. The trench extends across the spell’s area, and the separated water forms a wall to either side. The trench remains until the spell ends or you choose a different effect. The water then slowly fills in the trench over the course of the next round until the normal water level is restored. Redirect Flow. You cause flowing water in the area to move in a direction you choose, even if the water has to flow over obstacles, up walls, or in other unlikely directions. The water in the area moves as you direct it, but once it moves beyond the spell’s area, it resumes its flow based on the terrain. The water continues to move in the direction you chose until the spell ends or you choose a different effect. Whirlpool. You cause a whirlpool to form in the center of the area, which must be at least 50 feet square and 25 feet deep. The whirlpool lasts until you choose a different effect or the spell ends. The whirlpool is 5 feet wide at the base, up to 50 feet wide at the top, and 25 feet tall. Any creature in the water and within 25 feet of the whirlpool is pulled 10 feet toward it. When a creature enters the whirlpool for the first time on a turn or ends its turn there, it makes a Strength saving throw . On a failed save , the creature takes 2d8 Bludgeoning damage . On a successful save , the creature takes half as much damage . A creature can swim away from the whirlpool only if it first takes an action to pull away and succeeds on a Strength (Athletics) check against your spell save DC.",4,Transmutation,V S M,Bludgeoning,Action,300 ft (20 ft □),Strength
Control Weather,"Level 8 Transmutation (Cleric, Druid, Wizard) Casting Time: 10 minutes Range: Self Components: V, S, M (burning incense) Duration: Concentration, up to 8 hours You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell, and it ends early if you go indoors. When you cast the spell, you change the current weather conditions, which are determined by the DM. You can change precipitation, temperature, and wind. It takes 1d4 × 10 minutes for the new conditions to take effect. Once they do so, you can change the conditions again. When the spell ends, the weather gradually returns to normal. When you change the weather conditions, find a current condition on the following tables and change its stage by one, up or down. When changing the wind, you can change its direction. Precipitation Stage Condition 1 Clear 2 Light clouds 3 Overcast or ground fog 4 Rain, hail, or snow 5 Torrential rain, driving hail, or blizzard Temperature Stage Condition 1 Heat wave 2 Hot 3 Warm 4 Cool 5 Cold 6 Freezing Wind Stage Condition 1 Calm 2 Moderate wind 3 Strong wind 4 Gale 5 Storm",8,Transmutation,V S M,,10 minutes,,
Control Winds,"5th-Level Transmutation Casting Time : 1 action Rang e: 300 feet Components: V, S Duration : Concentration, up to 1 hour You take control of the air in a 100-foot cube that you can see within range. Choose one of the following effects when you cast the spell. The effect lasts for the spell’s duration, unless you use your action on a later turn to switch to a different effect. You can also use your action to temporarily halt the effect or to restart one you’ve halted. Gusts. A wind picks up within the cube, continually blowing in a horizontal direction that you choose. You choose the intensity of the wind: calm, moderate, or strong. If the wind is moderate or strong, ranged weapon attacks that pass through it or that are made against targets within the cube have disadvantage on their attack rolls. If the wind is strong, any creature moving against the wind must spend 1 extra foot of movement for each foot moved. Downdraft. You cause a sustained blast of strong wind to blow downward from the top of the cube. Ranged weapon attacks that pass through the cube or that are made against targets within it have disadvantage on their attack rolls. A creature must make a Strength saving throw if it flies into the cube for the first time on a turn or starts its turn there flying. On a failed save, the creature is knocked prone. Updraft. You cause a sustained updraft within the cube, rising upward from the cube’s bottom edge. Creatures that end a fall within the cube take only half damage from the fall. When a creature in the cube makes a vertical jump, the creature can jump up to 10 feet higher than normal.",5,Transmutation,"V, S",,1 action,300 feet,
Cordon of Arrows,"Level 2 Transmutation (Ranger) Casting Time: Action Range: Touch Components: V, S, M (an ornamental braid) Duration: 8 hours You touch up to four nonmagical Arrows or Bolts and plant them in the ground in your space. Until the spell ends, the ammunition can’t be physically uprooted, and whenever a creature other than you enters a space within 30 feet of the ammunition for the first time on a turn or ends its turn there, one piece of ammunition flies up to strike it. The creature must succeed on a Dexterity saving throw or take 2d4 Piercing damage . The piece of ammunition is then destroyed. The spell ends when none of the ammunition remains planted in the ground. When you cast this spell, you can designate any creatures you choose, and the spell ignores them. Using a Higher-Level Spell Slot. The amount of ammunition that can be affected increases by two for each spell slot level above 2.",2,Transmutation,V S M,Piercing,Action,,Dexterity
Counterspell,"Level 3 Abjuration (Sorcerer, Warlock, Wizard) Casting Time: Reaction, which you take when you see a creature within 60 feet of yourself casting a spell with Verbal, Somatic, or Material components Range: 60 feet Components: S Duration: Instantaneous You attempt to interrupt a creature in the process of casting a spell . The creature makes a Constitution saving throw . On a failed save , the spell dissipates with no effect, and the action , Bonus Action , or Reaction used to cast it is wasted. If that spell was cast with a spell slot, the slot isn’t expended.",3,Abjuration,S,,Reaction,,
Create Bonfire,"Conjuration Cantrip Casting Time : 1 action Rang e: 60 feet Components: V, S Duration : Concentration, up to 1 minute You create a bonfire on ground that you can see within range. Until the spell ends, the magic bonfire fills a 5-foot cube. Any creature in the bonfire’s space when you cast the spell must succeed on a Dexterity saving throw or take 1d8 fire damage. A creature must also make the saving throw when it moves into the bonfire’s space for the first time on a turn or ends its turn there. The bonfire ignites flammable objects in its area that aren’t being worn or carried. The spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",0,Conjuration,V S,Fire,1 action,60 feet,Dexterity
Create Food and Water,"Level 3 Conjuration (Cleric, Paladin) Casting Time: Action Range: 30 feet Components: V, S Duration: Instantaneous You create 45 pounds of food and 30 gallons of fresh water on the ground or in containers within range—both useful in fending off the hazards of malnutrition and dehydration . The food is bland but nourishing and looks like a food of your choice, and the water is clean. The food spoils after 24 hours if uneaten.",3,Conjuration,V S,,Action,,
Create Homunculus,"6th-Level Transmutation Casting Time : 1 hour Rang e: Touch Components: V, S, M ( clay, ash, and mandrake root, all of which the spell consumes, and a jewel-encrusted dagger worth at least 1,000 gp ) Duration : Instantaneous While speaking an intricate incantation, you cut yourself with a jewel-encrusted dagger, taking 2d4 piercing damage that can’t be reduced in any way. You then drip your blood on the spell’s other components and touch them, transforming them into a special construct called a homunculus. The statistics of the homunculus are in the Monster Manual . It is your faithful companion, and it dies if you die. Whenever you finish a long rest, you can spend up to half your Hit Dice if the homunculus is on the same plane of existence as you. When you do so, roll each die and add your Constitution modifier to it. Your hit point maximum is reduced by the total, and the homunculus’s hit point maximum and current hit points are both increased by it. This process can reduce you to no lower than 1 hit point, and the change to your and the homunculus’s hit points ends when you finish your next long rest. The reduction to your hit point maximum can’t be removed by any means before then, except by the homunculus’s death. You can have only one homunculus at a time. If you cast this spell while your homunculus lives, the spell fails.",6,Transmutation,V S M,,1 hour,Touch,
Create Magen,"7th-Level Transmutation Casting Time : 1 hour Rang e: Touch Components: V, S, M ( a vial of quicksilver worth 500 gp and a life-sized human doll, both of which the spell consumes, and an intricate crystal rod worth at least 1,500 gp that is not consumed ) Duration : Instantaneous While casting the spell, you place a vial of quicksilver in the chest of a life-sized human doll stuffed with ash or dust. You then stitch up the doll and drip your blood on it. At the end of the casting, you tap the doll with a crystal rod, transforming it into a magen clothed in whatever the doll was wearing. The type of magen is chosen by you during the casting of the spell. When the magen appears, your hit point maximum decreases by an amount equal to the magen’s challenge rating (minimum reduction of 1). Only a wish spell can undo this reduction to your hit point maximum. Any magen you create with this spell obeys your commands without question.",7,Transmutation,"V, S, M",,1 hour,Touch,
Create or Destroy Water,"Level 1 Transmutation (Cleric, Druid) Casting Time: Action Range: 30 feet Components: V, S, M (a mix of water and sand) Duration: Instantaneous You do one of the following: Create Water. You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot Cube within range, extinguishing exposed flames there. Destroy Water. You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot Cube within range. Using a Higher-Level Spell Slot. You create or destroy 10 additional gallons of water, or the size of the Cube increases by 5 feet, for each spell slot level above 1.",1,Transmutation,V S M,,Action,30 ft (30 ft □),
Create Spelljamming Helm,"5th-Level Transmutation Casting Time : 1 action Rang e: touch Components: V, S, M (a crystal rod worth at least 5,000 gp, which the spell consumes) Duration : Instantaneous Holding the rod used in the casting of the spell, you touch a Large or smaller chair that is unoccupied. The rod disappears, and the chair is transformed into a spelljamming helm .",5,Transmutation,"V, S, M",,1 action,touch,
Create Undead,"Level 6 Necromancy (Cleric, Warlock, Wizard) Casting Time: 1 minute Range: 10 feet Components: V, S, M (one 150+ GP black onyx stone for each corpse) Duration: Instantaneous You can cast this spell only at night. Choose up to three corpses of Medium or Small Humanoids within range. Each one becomes a Ghoul under your control. As a Bonus Action on each of your turns, you can mentally command any creature you animated with this spell if the creature is within 120 feet of you (if you control multiple creatures , you can command any of them at the same time, issuing the same command to them). You decide what action the creature will take and where it will move on its next turn, or you can issue a general command, such as to guard a particular place. If you issue no commands, the creature takes the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow the order until its task is complete. The creature is under your control for 24 hours, after which it stops obeying any command you’ve given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature before the current 24-hour period ends. This use of the spell reasserts your control over up to three creatures you have animated with this spell rather than animating new ones. Using a Higher-Level Spell Slot. If you use a level 7 spell slot, you can animate or reassert control over four Ghouls . If you use a level 8 spell slot, you can animate or reassert control over five Ghouls or two Ghasts or Wights . If you use a level 9 spell slot, you can animate or reassert control over six Ghouls , three Ghasts or Wights , or two Mummies . See the Monster Manual for these stat blocks.",6,Necromancy,V S M,,1 minute,,
Creation,"Level 5 Illusion (Sorcerer, Wizard) Casting Time: 1 minute Range: 30 feet Components: V, S, M (a paintbrush) Duration: Special You pull wisps of shadow material from the Shadowfell to create an object within range. It is either an object of vegetable matter (soft goods, rope, wood, and the like) or mineral matter (stone, crystal, metal, and the like). The object must be no larger than a 5-foot Cube , and the object must be of a form and material that you have seen. The spell’s duration depends on the object’s material, as shown in the Materials table. If the object is composed of multiple materials, use the shortest duration. Using any object created by this spell as another spell’s Material component causes the other spell to fail. Materials Material Duration Vegetable matter 24 hours Stone or crystal 12 hours Precious metals 1 hour Gems 10 minutes Adamantine or mithral 1 minute Using a Higher-Level Spell Slot. The Cube increases by 5 feet for each spell slot level above 5.",5,Illusion,V S M,,1 minute,30 ft (5 ft □),
Crown of Madness,"Level 2 Enchantment (Bard, Sorcerer, Warlock, Wizard) Casting Time: Action Range: 120 feet Components: V, S Duration: Concentration, up to 1 minute One creature that you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The creature succeeds automatically if it isn’t Humanoid . A spectral crown appears on the Charmed target’s head, and it must use its action before moving on each of its turns to make a melee attack against a creature other than itself that you mentally choose. The target can act normally on its turn if you choose no creature or if no creature is within its reach. The target repeats the save at the end of each of its turns, ending the spell on itself on a success. On your later turns, you must take the Magic action to maintain control of the target, or the spell ends.",2,Enchantment,V S,,Action,,Wisdom
Crown of Stars,"7th-Level Evocation Casting Time : 1 action Rang e: Self Components: V, S Duration : 1 hour Seven star-like motes of light appear and orbit your head until the spell ends. You can use a bonus action to send one of the motes streaking toward one creature or object within 120 feet of you. When you do so, make a ranged spell attack. On a hit, the target takes 4d12 radiant damage. Whether you hit or miss, the mote is expended. The spell ends early if you expend the last mote. If you have four or more motes remaining, they shed bright light in a 30-foot radius and dim light for an additional 30 feet. If you have one to three motes remaining, they shed dim light in a 30-foot radius. At Higher Levels. When you cast this spell using a spell slot of 8th level or higher, the number of motes created increases by two for each slot level above 7th.",7,Evocation,V S,Radiant,1 action,Self,
Crusader's Mantle,"3rd-Level Evocation Casting Time : 1 action Rang e: Self Components: V Duration : Concentration, up to 1 minute Holy power radiates from you in an aura with a 30-foot radius, awakening boldness in friendly creatures. Until the spell ends, the aura moves with you, centered on you. While in the aura, each nonhostile creature in the aura (including you) deals an extra 1d4 radiant damage when it hits with a weapon attack.",3,Evocation,V,,1 action,Self,
Cure Wounds,"1st-Level Evocation Casting Time : 1 action Rang e: Touch Components: V, S Duration : Instantaneous A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d8 for each slot level above 1st.",1,Evocation,V S,,1 action,Touch,
Dancing Lights,"Evocation Cantrip Casting Time : 1 action Rang e: 120 feet Components: V, S, M (a bit of phosphorus or wychwood, or a glowworm) Duration : Concentration, up to 1 minute You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius. As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell’s range.",0,Evocation,V S M,,1 action,,
Danse Macabre,"5th-Level Necromancy Casting Time : 1 action Rang e: 60 feet Components: V, S Duration : Concentration, up to 1 hour Threads of dark power leap from your fingers to pierce up to five Small or Medium corpses you can see within range. Each corpse immediately stands up and becomes undead. You decide whether it is a zombie or a skeleton (the statistics for zombies and skeletons are in the Monster Manual), and it gains a bonus to its attack and damage rolls equal to your spellcasting ability modifier. You can use a bonus action to mentally command the creatures you make with this spell, issuing the same command to all of them. To receive the command, a creature must be within 60 feet of you. You decide what action the creatures will take and where they will move during their next turn, or you can issue a general command, such as to guard a chamber or passageway against your foes. If you issue no commands, the creatures do nothing except defend themselves against hostile creatures. Once given an order, the creatures continue to follow it until their task is complete. The creatures are under your control until the spell ends, after which they become inanimate once more. At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, you animate up to two additional corpses for each slot level above 5th.",5,Necromancy,V S,,1 action,60 feet,
Dark Star,"8th-level evocation Casting Time : 1 action Range : 150 feet Components: V, S, M (a shard of onyx and a drop of the caster’s blood, both of which the spell consumes) Duration: Concentration, up to 1 minute This spell creates a sphere centered on a point you choose within range. The sphere can have a radius of up to 40 feet. The area within this sphere is filled with magical darkness and crushing gravitational force. For the duration, the spell’s area is difficult terrain. A creature with darkvision can’t see through the magical darkness, and nonmagical light can’t illuminate it. No sound can be created within or pass through the area. Any creature or object entirely inside the sphere is immune to thunder damage, and creatures are deafened while entirely inside it. Casting a spell that includes a verbal component is impossible there. Any creature that enters the spell’s area for the first time on a turn or starts its turn there must make a Constitution saving throw. The creature takes 8d10 force damage on a failed save, or half as much damage on a successful one. A creature reduced to 0 hit points by this damage is disintegrated. A disintegrated creature and everything it is wearing and carrying, except magic items, are reduced to a pile of fine gray dust.",8,Evocation,"V, S, M",Force,1 action,,Constitution
Darkness,"2nd-Level Evocation Casting Time : 1 action Rang e: 60 feet Components: V, M (bat fur and a drop of pitch or piece of coal) Duration : Concentration, up to 10 minutes Magical darkness spreads from a point you choose within range to fill a 15-foot-radius sphere for the duration. The darkness spreads around corners. A creature with darkvision can’t see through this darkness, and nonmagical light can’t illuminate it. If the point you choose is on an object you are holding or one that isn’t being worn or carried, the darkness emanates from the object and moves with it. Completely covering the source of the darkness with an opaque object, such as a bowl or a helm, blocks the darkness. If any of this spell’s area overlaps with an area of light created by a spell of 2nd level or lower, the spell that created the light is dispelled.",2,Evocation,V M,,1 action,60 feet,
Darkvision,"Level 2 Transmutation (Druid, Ranger, Sorcerer, Wizard) Casting Time: Action Range: Touch Components: V, S, M (a dried carrot) Duration: 8 hours For the duration, a willing creature you touch has Darkvision with a range of 150 feet.",2,Transmutation,V S M,,Action,,
Dawn,"5th-Level Evocation Casting Time : 1 action Rang e: 60 feet Components: V, S, M (a sunburst pendant worth at least 100 gp) Duration : Concentration, up to 1 minute The light of dawn shines down on a location you specify within range. Until the spell ends, a 30-foot-radius, 40-foot-high cylinder of bright light glimmers there. This light is sunlight. When the cylinder appears, each creature in it must make a Constitution saving throw, taking 4d10 radiant damage on a failed save, or half as much damage on a successful one. A creature must also make this saving throw whenever it ends its turn in the cylinder. If you’re within 60 feet of the cylinder, you can move it up to 60 feet as a bonus action on your turn.",5,Evocation,V S M,Radiant,1 action,60 feet,Constitution
Daylight,"Level 3 Evocation (Cleric, Druid, Paladin, Ranger, Sorcerer) Casting Time: Action Range: 60 feet Components: V, S Duration: 1 hour For the duration, sunlight spreads from a point within range and fills a 60-foot-radius Sphere . The sunlight’s area is Bright Light and sheds Dim Light for an additional 60 feet. Alternatively, you cast the spell on an object that isn’t being worn or carried, causing the sunlight to fill a 60-foot Emanation originating from that object . Covering that object with something opaque, such as a bowl or helm, blocks the sunlight. If any of this spell’s area overlaps with an area of Darkness created by a spell of level 3 or lower, that other spell is dispelled.",3,Evocation,V S,,Action,60 ft (60 ft radius ○),
Death Ward,"Level 4 Abjuration (Cleric, Paladin) Casting Time: Action Range: Touch Components: V, S Duration: 8 hours You touch a creature and grant it a measure of protection from death. The first time the target would drop to 0 Hit Points before the spell ends, the target instead drops to 1 Hit Point , and the spell ends. If the spell is still in effect when the target is subjected to an effect that would kill it instantly without dealing damage , that effect is negated against the target , and the spell ends.",4,Abjuration,V S,,Action,,
Delayed Blast Fireball,"Level 7 Evocation (Sorcerer, Wizard) Casting Time: Action Range: 150 feet Components: V, S, M (a ball of bat guano and sulfure) Duration: Concentration, up to 1 minute A beam of yellow light flashes from you, then condenses at a chosen point within range as a glowing bead for the duration. When the spell ends, the bead explodes, and each creature in a 20-foot-radius Sphere centered on that point makes a Dexterity saving throw . A creature takes Fire damage equal to the total accumulated damage on a failed save or half as much damage on a successful one. The spell’s base damage is 12d6, and the damage increases by 1d6 whenever your turn ends and the spell hasn’t ended. If a creature touches the glowing bead before the spell ends, that creature makes a Dexterity saving throw . On a failed save , the spell ends, causing the bead to explode. On a successful save , the creature can throw the bead up to 40 feet. If the thrown bead enters a creature’s space or collides with a solid object, the spell ends, and the bead explodes. When the bead explodes, flammable objects in the explosion that aren’t being worn or carried start burning. Using a Higher-Level Spell Slot. The base damage increases by 1d6 for each spell slot level above 7.",7,Evocation,V S M,Fire,Action,150 ft (20 ft radius ○),Dexterity
Demiplane,"Level 8 Conjuration (Sorcerer, Warlock, Wizard) Casting Time: Action Range: 60 feet Components: S Duration: 1 hour You create a shadowy Medium door on a flat solid surface that you can see within range. This door can be opened and closed, and it leads to a demiplane that is an empty room 30 feet in each dimension, made of wood or stone (your choice). When the spell ends, the door vanishes, and any objects inside the demiplane remain there. Any creatures inside also remain unless they opt to be shunted through the door as it vanishes, landing with the Prone condition in the unoccupied spaces closest to the door’s former space. Each time you cast this spell, you can create a new demiplane or connect the shadowy door to a demiplane you created with a previous casting of this spell. Additionally, if you know the nature and contents of a demiplane created by a casting of this spell by another creature , you can connect the shadowy door to that demiplane instead.",8,Conjuration,S,,Action,,
Destructive Wave,"Level 5 Evocation (Paladin) Casting Time: Action Range: Self Components: V Duration: Instantaneous Destructive energy ripples outward from you in a 30-foot Emanation . Each creature you choose in the Emanation makes a Constitution saving throw . On a failed save , a target takes 5d6 Thunder damage and 5d6 Radiant or Necrotic damage (your choice) and has the Prone condition. On a successful save , a target takes half as much damage only.",5,Evocation,V,Thunder,Action,Self (30 ft ○),Constitution
Detect Evil and Good,"Level 1 Divination (Cleric, Paladin) Casting Time: Action Range: Self Components: V, S Duration: Concentration, up to 10 minutes For the duration, you sense the location of any Aberration , Celestial , Elemental , Fey , Fiend , or Undead within 30 feet of yourself. You also sense whether the Hallow spell is active there and, if so, where. The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",1,Divination,V S,,Action,,
Detect Magic,"1st-Level Divination (ritual) Casting Time : 1 action Rang e: Self Components: V, S Duration : Concentration, up to 10 minutes For the duration, you sense the presence of magic within 30 feet of you. If you sense magic in this way, you can use your action to see a faint aura around any visible creature or object in the area that bears magic, and you learn its school of magic, if any. The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of co⁠mmon metal, a thin sheet of lead, or 3 feet of wood or dirt.",1,Divination,V S,,1 action,Self,
Detect Poison and Disease,"Level 1 Divination (Cleric, Druid, Paladin, Ranger) Casting Time: Action or Ritual Range: Self Components: V, S, M (a yew leaf) Duration: Concentration, up to 10 minutes For the duration, you sense the location of poisons, poisonous or venomous creatures , and magical contagions within 30 feet of yourself. You sense the kind of poison, creature , or contagion in each case. The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",1,Divination,V S M,,Action or Ritual,,
