name,description,Type,Rarity,Attunement,Properties
Enspelled Leather Armor (Level 7),"Armor (Leather Armor), Legendary (Requires Attunement) Bound into this armor is a spell of level 7. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",Light Armor,Yes,,
Enspelled Leather Armor (Level 8),"Armor (Leather Armor), Legendary (Requires Attunement) Bound into this armor is a spell of level 8. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",Light Armor,Yes,,
Enspelled Light Crossbow (Cantrip),"Weapon (Light Crossbow), Uncommon (Requires Attunement) Bound into this weapon is a cantrip. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",simple,Yes,,Loading
Enspelled Light Crossbow (Level 1),"Weapon (Light Crossbow), Uncommon (Requires Attunement) Bound into this weapon is a spell of level 1. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",simple,Yes,,Loading
Enspelled Light Crossbow (Level 2),"Weapon (Light Crossbow), Rare (Requires Attunement) Bound into this weapon is a spell of level 2. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",simple,Yes,,Loading
Enspelled Light Crossbow (Level 3),"Weapon (Light Crossbow), Rare (Requires Attunement) Bound into this weapon is a spell of level 3. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",simple,Yes,,Loading
Enspelled Light Crossbow (Level 4),"Weapon (Light Crossbow), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 4. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",simple,Yes,,Loading
Enspelled Light Crossbow (Level 5),"Weapon (Light Crossbow), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 5. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",simple,Yes,,Loading
Enspelled Light Crossbow (Level 6),"Weapon (Light Crossbow), Legendary (Requires Attunement) Bound into this weapon is a spell of level 6. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",simple,Yes,,Loading
Enspelled Light Crossbow (Level 7),"Weapon (Light Crossbow), Legendary (Requires Attunement) Bound into this weapon is a spell of level 7. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",simple,Yes,,Loading
Enspelled Light Crossbow (Level 8),"Weapon (Light Crossbow), Legendary (Requires Attunement) Bound into this weapon is a spell of level 8. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",simple,Yes,,Loading
Enspelled Light Hammer (Cantrip),"Weapon (Light Hammer), Uncommon (Requires Attunement) Bound into this weapon is a cantrip. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",simple,Yes,,Thrown
Enspelled Light Hammer (Level 1),"Weapon (Light Hammer), Uncommon (Requires Attunement) Bound into this weapon is a spell of level 1. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",simple,Yes,,Thrown
Enspelled Light Hammer (Level 2),"Weapon (Light Hammer), Rare (Requires Attunement) Bound into this weapon is a spell of level 2. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",simple,Yes,,Thrown
Enspelled Light Hammer (Level 3),"Weapon (Light Hammer), Rare (Requires Attunement) Bound into this weapon is a spell of level 3. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",simple,Yes,,Thrown
Enspelled Light Hammer (Level 4),"Weapon (Light Hammer), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 4. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",simple,Yes,,Thrown
Enspelled Light Hammer (Level 5),"Weapon (Light Hammer), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 5. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",simple,Yes,,Thrown
Enspelled Light Hammer (Level 6),"Weapon (Light Hammer), Legendary (Requires Attunement) Bound into this weapon is a spell of level 6. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",simple,Yes,,Thrown
Enspelled Light Hammer (Level 7),"Weapon (Light Hammer), Legendary (Requires Attunement) Bound into this weapon is a spell of level 7. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",simple,Yes,,Thrown
Enspelled Light Hammer (Level 8),"Weapon (Light Hammer), Legendary (Requires Attunement) Bound into this weapon is a spell of level 8. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",simple,Yes,,Thrown
Enspelled Longbow (Cantrip),"Weapon (Longbow), Uncommon (Requires Attunement) Bound into this weapon is a cantrip. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,"Heavy, Two-Handed"
Enspelled Longbow (Level 1),"Weapon (Longbow), Uncommon (Requires Attunement) Bound into this weapon is a spell of level 1. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,"Heavy, Two-Handed"
Enspelled Longbow (Level 2),"Weapon (Longbow), Rare (Requires Attunement) Bound into this weapon is a spell of level 2. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,"Heavy, Two-Handed"
Enspelled Longbow (Level 3),"Weapon (Longbow), Rare (Requires Attunement) Bound into this weapon is a spell of level 3. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,"Heavy, Two-Handed"
Enspelled Longbow (Level 4),"Weapon (Longbow), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 4. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,"Heavy, Two-Handed"
Enspelled Longbow (Level 5),"Weapon (Longbow), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 5. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",martial,Yes,,"Heavy, Two-Handed"
Enspelled Longbow (Level 6),"Weapon (Longbow), Legendary (Requires Attunement) Bound into this weapon is a spell of level 6. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",martial,Yes,,"Heavy, Two-Handed"
Enspelled Longbow (Level 7),"Weapon (Longbow), Legendary (Requires Attunement) Bound into this weapon is a spell of level 7. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",martial,Yes,,"Heavy, Two-Handed"
Enspelled Longbow (Level 8),"Weapon (Longbow), Legendary (Requires Attunement) Bound into this weapon is a spell of level 8. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",martial,Yes,,"Heavy, Two-Handed"
Enspelled Longsword (Cantrip),"Weapon (Longsword), Uncommon (Requires Attunement) Bound into this weapon is a cantrip. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,Versatile (1d10)
Enspelled Longsword (Level 1),"Weapon (Longsword), Uncommon (Requires Attunement) Bound into this weapon is a spell of level 1. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,Versatile (1d10)
Enspelled Longsword (Level 2),"Weapon (Longsword), Rare (Requires Attunement) Bound into this weapon is a spell of level 2. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,Versatile (1d10)
Enspelled Longsword (Level 3),"Weapon (Longsword), Rare (Requires Attunement) Bound into this weapon is a spell of level 3. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,Versatile (1d10)
Enspelled Longsword (Level 4),"Weapon (Longsword), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 4. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,Versatile (1d10)
Enspelled Longsword (Level 5),"Weapon (Longsword), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 5. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",martial,Yes,,Versatile (1d10)
Enspelled Longsword (Level 6),"Weapon (Longsword), Legendary (Requires Attunement) Bound into this weapon is a spell of level 6. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",martial,Yes,,Versatile (1d10)
Enspelled Longsword (Level 7),"Weapon (Longsword), Legendary (Requires Attunement) Bound into this weapon is a spell of level 7. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",martial,Yes,,Versatile (1d10)
Enspelled Longsword (Level 8),"Weapon (Longsword), Legendary (Requires Attunement) Bound into this weapon is a spell of level 8. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",martial,Yes,,Versatile (1d10)
Enspelled Mace (Cantrip),"Weapon (Mace), Uncommon (Requires Attunement) Bound into this weapon is a cantrip. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",simple,Yes,,
Enspelled Mace (Level 1),"Weapon (Mace), Uncommon (Requires Attunement) Bound into this weapon is a spell of level 1. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",simple,Yes,,
Enspelled Mace (Level 2),"Weapon (Mace), Rare (Requires Attunement) Bound into this weapon is a spell of level 2. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",simple,Yes,,
Enspelled Mace (Level 3),"Weapon (Mace), Rare (Requires Attunement) Bound into this weapon is a spell of level 3. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",simple,Yes,,
Enspelled Mace (Level 4),"Weapon (Mace), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 4. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",simple,Yes,,
Enspelled Mace (Level 5),"Weapon (Mace), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 5. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",simple,Yes,,
Enspelled Mace (Level 6),"Weapon (Mace), Legendary (Requires Attunement) Bound into this weapon is a spell of level 6. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",simple,Yes,,
Enspelled Mace (Level 7),"Weapon (Mace), Legendary (Requires Attunement) Bound into this weapon is a spell of level 7. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",simple,Yes,,
Enspelled Mace (Level 8),"Weapon (Mace), Legendary (Requires Attunement) Bound into this weapon is a spell of level 8. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",simple,Yes,,
Enspelled Maul (Cantrip),"Weapon (Maul), Uncommon (Requires Attunement) Bound into this weapon is a cantrip. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,Two-Handed
Enspelled Maul (Level 1),"Weapon (Maul), Uncommon (Requires Attunement) Bound into this weapon is a spell of level 1. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,Two-Handed
Enspelled Maul (Level 2),"Weapon (Maul), Rare (Requires Attunement) Bound into this weapon is a spell of level 2. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,Two-Handed
Enspelled Maul (Level 3),"Weapon (Maul), Rare (Requires Attunement) Bound into this weapon is a spell of level 3. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,Two-Handed
Enspelled Maul (Level 4),"Weapon (Maul), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 4. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,Two-Handed
Enspelled Maul (Level 5),"Weapon (Maul), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 5. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",martial,Yes,,Two-Handed
Enspelled Maul (Level 6),"Weapon (Maul), Legendary (Requires Attunement) Bound into this weapon is a spell of level 6. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",martial,Yes,,Two-Handed
Enspelled Maul (Level 7),"Weapon (Maul), Legendary (Requires Attunement) Bound into this weapon is a spell of level 7. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",martial,Yes,,Two-Handed
Enspelled Maul (Level 8),"Weapon (Maul), Legendary (Requires Attunement) Bound into this weapon is a spell of level 8. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",martial,Yes,,Two-Handed
Enspelled Morningstar (Cantrip),"Weapon (Morningstar), Uncommon (Requires Attunement) Bound into this weapon is a cantrip. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,
Enspelled Morningstar (Level 1),"Weapon (Morningstar), Uncommon (Requires Attunement) Bound into this weapon is a spell of level 1. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,
Enspelled Morningstar (Level 2),"Weapon (Morningstar), Rare (Requires Attunement) Bound into this weapon is a spell of level 2. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,
Enspelled Morningstar (Level 3),"Weapon (Morningstar), Rare (Requires Attunement) Bound into this weapon is a spell of level 3. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,
Enspelled Morningstar (Level 4),"Weapon (Morningstar), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 4. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,
Enspelled Morningstar (Level 5),"Weapon (Morningstar), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 5. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",martial,Yes,,
Enspelled Morningstar (Level 6),"Weapon (Morningstar), Legendary (Requires Attunement) Bound into this weapon is a spell of level 6. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",martial,Yes,,
Enspelled Morningstar (Level 7),"Weapon (Morningstar), Legendary (Requires Attunement) Bound into this weapon is a spell of level 7. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",martial,Yes,,
Enspelled Morningstar (Level 8),"Weapon (Morningstar), Legendary (Requires Attunement) Bound into this weapon is a spell of level 8. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",martial,Yes,,
Enspelled Musket (Cantrip),"Weapon (Musket), Uncommon (Requires Attunement) Bound into this weapon is a cantrip. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,"Loading, Two-Handed"
Enspelled Musket (Level 1),"Weapon (Musket), Uncommon (Requires Attunement) Bound into this weapon is a spell of level 1. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,"Loading, Two-Handed"
Enspelled Musket (Level 2),"Weapon (Musket), Rare (Requires Attunement) Bound into this weapon is a spell of level 2. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,"Loading, Two-Handed"
Enspelled Musket (Level 3),"Weapon (Musket), Rare (Requires Attunement) Bound into this weapon is a spell of level 3. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,"Loading, Two-Handed"
