name,type,subtype,rarity,cost,weight,description,attunement
Chain Mail Armor of Fire Resistance,Armor,Heavy Armor,Rare (Requires Attunement),"501 - 5,000 gp",55," Description You have resistance to fire damage while you wear this armor. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",TRUE
Chain Mail Armor of Force Resistance,Armor,Heavy Armor,Rare (Requires Attunement),"501 - 5,000 gp",55," Description You have resistance to force damage while you wear this armor. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",TRUE
Chain Mail Armor of Gleaming,Armor,Heavy Armor,Common,50 - 100 gp,55," Description This armor never gets dirty. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",FALSE
Chain Mail Armor of Lightning Resistance,Armor,Heavy Armor,Rare (Requires Attunement),"501 - 5,000 gp",55," Description You have resistance to lightning damage while you wear this armor. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",TRUE
Chain Mail Armor of Necrotic Resistance,Armor,Heavy Armor,Rare (Requires Attunement),"501 - 5,000 gp",55," Description You have resistance to necrotic damage while you wear this armor. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",TRUE
Chain Mail Armor of Poison Resistance,Armor,Heavy Armor,Rare (Requires Attunement),"501 - 5,000 gp",55," Description You have resistance to poison damage while you wear this armor. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",TRUE
Chain Mail Armor of Psychic Resistance,Armor,Heavy Armor,Rare (Requires Attunement),"501 - 5,000 gp",55," Description You have resistance to psychic damage while you wear this armor. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",TRUE
Chain Mail Armor of Radiant Resistance,Armor,Heavy Armor,Rare (Requires Attunement),"501 - 5,000 gp",55," Description You have resistance to radiant damage while you wear this armor. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",TRUE
Chain Mail Armor of Resistance,Armor,Heavy Armor,Rare (Requires Attunement),"4,075 gp",55," Armor of Resistance Notes Armor of Resistance Armor (Any Light, Medium, or Heavy), Rare (Requires Attunement) You have Resistance to one type of damage while you wear this armor. The DM chooses the type or determines it randomly by rolling on the following table. 1d10 Damage Type 1d10 Damage Type 1 Acid 6 Necrotic 2 Cold 7 Poison 3 Fire 8 Psychic 4 Force 9 Radiant 5 Lightning 10 Thunder ",TRUE
Chain Mail Armor of Thunder Resistance,Armor,Heavy Armor,Rare (Requires Attunement),"501 - 5,000 gp",55," Description You have resistance to thunder damage while you wear this armor. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",TRUE
Chain Mail Armor of Vulnerability,Armor,Heavy Armor,Rare (Requires Attunement),"4,075 gp",55," Armor of Vulnerability Notes Armor of Vulnerability Armor (Any Light, Medium, or Heavy), Rare (Requires Attunement) While wearing this armor, you have Resistance to one of the following damage types: Bludgeoning, Piercing, or Slashing. The DM chooses the type or determines it randomly. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by a Remove Curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have Vulnerability to two of the three damage types associated with the armor (not the one to which it grants Resistance). ",TRUE
"Chain Mail Armor, +1",Armor,Heavy Armor,Rare,"501 - 5,000 gp",55," Description The most basic form of magic armor is a superb product of physical and magical craft. You have a +1 bonus to AC while wearing this armor. A suit of +1 armor never rusts or deteriorates, and it magically resizes to fit its wearer. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",FALSE
"Chain Mail Armor, +2",Armor,Heavy Armor,Very Rare,"40,075 gp",55," Armor Notes Armor, +2 Armor (Any Light, Medium, or Heavy), Very Rare You have a bonus to Armor Class while wearing this armor. The bonus is determined by its rarity. ",FALSE
"Chain Mail Armor, +3",Armor,Heavy Armor,Legendary,"50,001 - 100,000 gp",55," Description The most basic form of magic armor is a superb product of physical and magical craft. You have a +3 bonus to AC while wearing this armor. A suit of +3 armor never rusts or deteriorates, and it magically resizes to fit its wearer. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",FALSE
Chain Shirt,Armor,Medium Armor,,50 gp,20," Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",FALSE
Chain Shirt Armor of Acid Resistance,Armor,Medium Armor,Rare (Requires Attunement),"501 - 5,000 gp",20," Description You have resistance to acid damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Chain Shirt Armor of Cold Resistance,Armor,Medium Armor,Rare (Requires Attunement),"501 - 5,000 gp",20," Description You have resistance to cold damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Chain Shirt Armor of Fire Resistance,Armor,Medium Armor,Rare (Requires Attunement),"501 - 5,000 gp",20," Description You have resistance to fire damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Chain Shirt Armor of Force Resistance,Armor,Medium Armor,Rare (Requires Attunement),"501 - 5,000 gp",20," Description You have resistance to force damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Chain Shirt Armor of Gleaming,Armor,Medium Armor,Common,50 - 100 gp,20," Description This armor never gets dirty. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",FALSE
Chain Shirt Armor of Lightning Resistance,Armor,Medium Armor,Rare (Requires Attunement),"501 - 5,000 gp",20," Description You have resistance to lightning damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Chain Shirt Armor of Necrotic Resistance,Armor,Medium Armor,Rare (Requires Attunement),"501 - 5,000 gp",20," Description You have resistance to necrotic damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Chain Shirt Armor of Poison Resistance,Armor,Medium Armor,Rare (Requires Attunement),"501 - 5,000 gp",20," Description You have resistance to poison damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Chain Shirt Armor of Psychic Resistance,Armor,Medium Armor,Rare (Requires Attunement),"501 - 5,000 gp",20," Description You have resistance to psychic damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Chain Shirt Armor of Radiant Resistance,Armor,Medium Armor,Rare (Requires Attunement),"501 - 5,000 gp",20," Description You have resistance to radiant damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Chain Shirt Armor of Resistance,Armor,Medium Armor,Rare (Requires Attunement),"4,050 gp",20," Armor of Resistance Notes Armor of Resistance Armor (Any Light, Medium, or Heavy), Rare (Requires Attunement) You have Resistance to one type of damage while you wear this armor. The DM chooses the type or determines it randomly by rolling on the following table. 1d10 Damage Type 1d10 Damage Type 1 Acid 6 Necrotic 2 Cold 7 Poison 3 Fire 8 Psychic 4 Force 9 Radiant 5 Lightning 10 Thunder ",TRUE
Chain Shirt Armor of Thunder Resistance,Armor,Medium Armor,Rare (Requires Attunement),"501 - 5,000 gp",20," Description You have resistance to thunder damage while you wear this armor. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",TRUE
Chain Shirt Armor of Vulnerability,Armor,Medium Armor,Rare (Requires Attunement),"4,050 gp",20," Armor of Vulnerability Notes Armor of Vulnerability Armor (Any Light, Medium, or Heavy), Rare (Requires Attunement) While wearing this armor, you have Resistance to one of the following damage types: Bludgeoning, Piercing, or Slashing. The DM chooses the type or determines it randomly. Curse. This armor is cursed, a fact that is revealed only when the Identify spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by a Remove Curse spell or similar magic; removing the armor fails to end the curse. While cursed, you have Vulnerability to two of the three damage types associated with the armor (not the one to which it grants Resistance). ",TRUE
"Chain Shirt Armor, +1",Armor,Medium Armor,Rare,"501 - 5,000 gp",20," Description The most basic form of magic armor is a superb product of physical and magical craft. You have a +1 bonus to AC while wearing this armor. A suit of +1 armor never rusts or deteriorates, and it magically resizes to fit its wearer. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",FALSE
"Chain Shirt Armor, +2",Armor,Medium Armor,Very Rare,"5,001 - 50,000 gp",20," Description The most basic form of magic armor is a superb product of physical and magical craft. You have a +2 bonus to AC while wearing this armor. A suit of +2 armor never rusts or deteriorates, and it magically resizes to fit its wearer. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",FALSE
"Chain Shirt Armor, +3",Armor,Medium Armor,Legendary,"50,001 - 100,000 gp",20," Description The most basic form of magic armor is a superb product of physical and magical craft. You have a +3 bonus to AC while wearing this armor. A suit of +3 armor never rusts or deteriorates, and it magically resizes to fit its wearer. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",FALSE
Chalcedony,Treasure,Gemstones (50 Gp),,50 gp,0.01, This gemstone is opaque white in color. ,FALSE
Chalk (1 Piece),Adventuring Gear,Standard,,1 cp,0.001, ,FALSE
Chariot,"Tack, Harness, And Drawn Vehicles",Drawn Vehicles,,250 gp,100, ,FALSE
Charlatan's Die,Wondrous Item,,Common (Requires Attunement),50 - 100 gp,0," Description Whenever you roll this six-sided die, you can control which number it rolls. Dice Set Notes This item encompasses a wide range of game pieces, including dice and decks of cards (for games such as Three-Dragon Ante). A few common examples appear on the Tools table, but other kinds of gaming sets exist. If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency. ",TRUE
Cheese (wedge),Services,"Food, Drink, and Lodging",common,1 SP,0, ,FALSE
Chest,Adventuring Gear,Standard,,5 gp,25, A chest holds 12 cubic feet/300 pounds of gear ,FALSE
Chime of Opening,Wondrous Item,,Rare,"501 - 5,000 gp",1," Description This hollow metal tube measures about 1 foot long and weighs 1 pound. You can strike it as an action, pointing it at an object within 120 feet of you that can be opened, such as a door, lid, or lock. The chime issues a clear tone, and one lock or latch on the object opens unless the sound can't reach the object. If no locks or latches remain, the object itself opens. The chime can be used ten times. After the tenth time, it cracks and becomes useless. ",FALSE
Chrysoberyl,Treasure,Gemstones (100 Gp),,100 gp,0.01, This gemstone is transparent yellow-green to pale green in color. ,FALSE
Chrysoprase,Treasure,Gemstones (50 Gp),,50 gp,0.01, This gemstone is translucent green in color. ,FALSE
Circlet of Blasting,Wondrous Item,,Uncommon,101 - 500 gp,0.5," Description While wearing this circlet, you can use an action to cast the scorching ray spell with it. When you make the spell's attacks, you do so with an attack bonus of +5. The circlet can't be used this way again until the next dawn. ",FALSE
Citrine,Treasure,Gemstones (50 Gp),,50 gp,0.01, This gemstone is transparent pale yellow-brown in color. ,FALSE
Cittern,Tools,Musical Instrument,,35 gp,0, ,FALSE
Clay Pot,Adventuring Gear,Standard,,5 sp,2," A pot, made of clay, and used for growing things ",FALSE
Clay Statuette,Adventuring Gear,Treasure,,25 gp,2, A clay chameleon statuette covered in crystal beads that change colors ,FALSE
Climber's Kit,Adventuring Gear,Equipment Kits,,25 gp,12," A climber's kit includes special pitons, boot tips, gloves, and a harness. You can use the climber's kit as an action to anchor yourself; when you do, you can't fall more than 25 feet from the point where you anchored yourself, and you can't climb more than 25 feet away from that point without undoing the anchor. ",FALSE
Cloak,Adventuring Gear,Standard,,-,0, ,FALSE
Cloak of Arachnida,Wondrous Item,,Very Rare (Requires Attunement),"5,001 - 50,000 gp",2," Description This fine garment is made of black silk interwoven with faint silvery threads. While wearing it, you gain the following benefits: You have resistance to poison damage. You have a climbing speed equal to your walking speed. You can move up, down, and across vertical surfaces and upside down along ceilings, while leaving your hands free. You can't be caught in webs of any sort and can move through webs as if they were difficult terrain. You can use an action to cast the web spell (save DC 13). The web created by the spell fills twice its normal area. Once used, this property of the cloak can't be used again until the next dawn. ",TRUE
Cloak of Billowing,Wondrous Item,,Common,50 - 100 gp,2," Description While wearing this cloak, you can use a bonus action to make it billow dramatically. ",FALSE
Cloak of Displacement,Wondrous Item,,Rare (Requires Attunement),"501 - 5,000 gp",2," Description While you wear this cloak, it projects an illusion that makes you appear to be standing in a place near your actual location, causing any creature to have disadvantage on attack rolls against you. If you take damage, the property ceases to function until the start of your next turn. This property is suppressed while you are incapacitated, restrained, or otherwise unable to move. ",TRUE
Cloak of Elvenkind,Wondrous Item,,Uncommon (Requires Attunement),101 - 500 gp,2," Description While you wear this cloak with its hood up, Wisdom (Perception) checks made to see you have disadvantage, and you have advantage on Dexterity (Stealth) checks made to hide, as the cloak's color shifts to camouflage you. Pulling the hood up or down requires an action. ",TRUE
Cloak of Invisibility,Wondrous Item,,Legendary (Requires Attunement),"50,001 - 100,000 gp",2," Description While wearing this cloak, you can pull its hood over your head to cause yourself to become invisible. While you are invisible, anything you are carrying or wearing is invisible with you. You become visible when you cease wearing the hood. Pulling the hood up or down requires an action. Deduct the time you are invisible, in increments of 1 minute, from the cloak's maximum duration of 2 hours. After 2 hours of use, the cloak ceases to function. For every uninterrupted period of 12 hours the cloak goes unused, it regains 1 hour of duration. ",TRUE
Cloak of Many Fashions,Wondrous Item,,Common,50 - 100 gp,2," Description While wearing this cloak, you can use a bonus action to change the style, color, and apparent quality of the garment. The cloak's weight doesn't change. Regardless of its appearance, the cloak can't be anything but a cloak. Although it can duplicate the appearance of other magic cloaks, it doesn't gain their magical properties. ",FALSE
Cloak of Protection,Wondrous Item,,Uncommon (Requires Attunement),101 - 500 gp,2, Description You gain a +1 bonus to AC and saving throws while you wear this cloak. ,TRUE
Cloak of the Bat,Wondrous Item,,Rare (Requires Attunement),"501 - 5,000 gp",2," Description While wearing this cloak, you have advantage on Dexterity (Stealth) checks. In an area of dim light or darkness, you can grip the edges of the cloak with both hands and use it to fly at a speed of 40 feet. If you ever fail to grip the cloak's edges while flying in this way, or if you are no longer in dim light or darkness, you lose this flying speed. While wearing the cloak in an area of dim light or darkness, you can use your action to cast polymorph on yourself, transforming into a bat. While you are in the form of the bat, you retain your Intelligence, Wisdom, and Charisma scores. The cloak can't be used this way again until the next dawn. ",TRUE
Cloak of the Manta Ray,Wondrous Item,,Uncommon,101 - 500 gp,2," Description While wearing this cloak with its hood up, you can breathe underwater, and you have a swimming speed of 60 feet. Pulling the hood up or down requires an action. ",FALSE
Clockwork Amulet,Wondrous Item,,Common,50 - 100 gp,1," Description This copper amulet contains tiny interlocking gears and is powered by magic from Mechanus, a plane of clockwork predictability. A creature that puts an ear to the amulet can hear faint ticking and whirring noises coming from within. When you make an attack roll while wearing the amulet, you can forgo rolling the d20 to get a 10 on the die. Once used, this property can't be used again until the next dawn. Amulet Notes A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. The Player's Handbook lists many gods in the multiverse and their typical symbols. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. ",FALSE
Cloth,Adventuring Gear,Standard,,5 cp,0.02, ,FALSE
Cloth-of-gold Vestments,Treasure,Art Objects (25 Gp),,25 gp,0.01, ,FALSE
Clothes of Mending,Wondrous Item,,Common,50 - 100 gp,4, Description This elegant outfit of traveler's clothes magically mends itself to counteract daily wear and tear. Pieces of the outfit that are destroyed can't be repaired in this way. ,FALSE
"Clothes, Common",Adventuring Gear,Standard,,5 sp,3, ,FALSE
"Clothes, Fine",Adventuring Gear,Standard,common,15 GP,6, Fine Clothes are made of expensive fabrics and adorned with expertly crafted details. Some events and locations admit only people wearing these clothes. ,FALSE
"Clothes, Costume",Adventuring Gear,Standard,,5 gp,4, ,FALSE
"Clothes, Traveler's",Adventuring Gear,Standard,,2 gp,4, ,FALSE
"Clothes, Vestments",Adventuring Gear,Standard,,15 gp,6, ,FALSE
"Clothes, Woolen",Adventuring Gear,Standard,,5 sp,3," Common clothing, made from rough wool. ",FALSE
Club,Weapon,Simple Melee Weapons,,1 sp,2, ,FALSE
Club of Warning,Weapon,Simple Melee Weapons,Uncommon (Requires Attunement),101 - 500 gp,2," Description This magic weapon warns you of danger. While the weapon is on your person, you have advantage on initiative rolls. In addition, you and any of your companions within 30 feet of you can't be surprised, except when incapacitated by something other than nonmagical sleep. The weapon magically awakens you and your companions within range if any of you are sleeping naturally when combat begins. ",TRUE
"Club, +1",Weapon,Simple Melee Weapons,Uncommon,101 - 500 gp,2, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +1 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Club, +2",Weapon,Simple Melee Weapons,Rare,"501 - 5,000 gp",2, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +2 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Club, +3",Weapon,Simple Melee Weapons,Very Rare,"5,001 - 50,000 gp",2, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +3 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
Cobbler's Tools,Tools,Artisan's Tools,,5 gp,5," These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ",FALSE
Coiling Grasp Tattoo,Wondrous Item,,Uncommon (Requires Attunement),101 - 500 gp,0," Description Produced by a special needle, this magic tattoo has long intertwining designs. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin. If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Grasping Tendrils. While the tattoo is on your skin, you can, as an action, cause the tattoo to extrude into inky tendrils, which reach for a creature you can see within 15 feet of you. The creature must succeed on a DC 14 Strength saving throw or take 3d6 force damage and be grappled by you. As an action, the creature can escape the grapple by succeeding on a DC 14 Strength (Athletics) or Dexterity (Acrobatics) check. The grapple also ends if you halt it (no action required), if the creature is ever more than 15 feet away from you, or if you use this tattoo on a different creature. Tattoo Notes Blending magic and artistry with ink and needles, magic tattoos imbue their bearers with wondrous abilities. Magic tattoos are initially bound to magic needles, which transfer their magic to a creature. ",TRUE
Cold Absorbing Tattoo,Wondrous Item,,Very Rare (Requires Attunement),"5,001 - 50,000 gp",0," Description Produced by a special needle, this magic tattoo features designs that emphasize one color. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin. If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to cold damage Damage Absorption. When you take cold damage, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn. Tattoo Notes Blending magic and artistry with ink and needles, magic tattoos imbue their bearers with wondrous abilities. Magic tattoos are initially bound to magic needles, which transfer their magic to a creature. ",TRUE
Component Pouch,Adventuring Gear,Standard,,25 gp,2," A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description). ",FALSE
Concertina,Adventuring Gear,Standard,,-,0, A musical instrument that uses a bellows and keys to produce sounds. ,FALSE
Cook's Utensils,Tools,Artisan's Tools,,1 gp,8," Adventuring is a hard life. With a cook along on the journey, your meals will be much better than the typical mix of hardtack and dried fruit. Cook's utensils include a metal pot, knives, forks, a stirring spoon, and a ladle. ",FALSE
Copper Bowl,Adventuring Gear,Treasure,,-,2, A copper bowl which contains some rat bones. ,FALSE
Copper Chalice With Silver Filigree,Treasure,Art Objects (25 Gp),,25 gp,0.01, ,FALSE
Copper Mug,Adventuring Gear,Treasure,,100 gp,1, A copper mug with jade inlay ,FALSE
Coral,Treasure,Gemstones (100 Gp),,100 gp,0.01, This gemstone is opaque crimson in color. ,FALSE
Corked Vial,Adventuring Gear,Treasure,,5 gp,0.1, An empty corked vial made from an aarakocra's engraved wing bone ,FALSE
Cormyrean Cloak,Adventuring Gear,Treasure,,100 gp,3, A fine Cormyrean cloak ,FALSE
Costume,Adventuring Gear,Standard,common,5 GP,4," While wearing a Costume, you have Advantage on any ability check you make to impersonate the person or type of person it represents. ",FALSE
Couatl Bracelet,Adventuring Gear,Treasure,,50 gp,0.5, A painted gold bracelet shaped like a couatl ,FALSE
Crawler Mucus,Adventuring Gear,Poisons,common,200 GP,0," Contact Poison A creature subjected to Crawler Mucus must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 1 minute. The creature also has the Paralyzed condition while Poisoned in this way. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success. ",FALSE
Crippling Hunger,Adventuring Gear,Charms,,-,0, You are cursed with crippling hunger imposing disadvantage on attack rolls and ability checks. ,FALSE
